population,old oyster#,site,replicate/level,oyster#,species,valve,x,y,z,worms,blisters
Fossil,NA,site 1,replicate 1,260,Ostrea lurida,l,NA,1.5,NA,0,0
Fossil,NA,site 1,replicate 1,261,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 1,replicate 1,262,Ostrea lurida,l,NA,1.5,NA,0,0
Fossil,NA,site 1,replicate 1,263,Ostrea lurida,l,NA,0.9,NA,0,0
Fossil,NA,site 1,replicate 1,264,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 1,replicate 1,265,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 1,replicate 1,266,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,267,Ostrea lurida,r,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,268,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,269,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,270,Ostrea lurida,r,NA,1.7,NA,0,0
Fossil,NA,site 2,replicate 1,271,Ostrea lurida,r,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,272,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,273,Ostrea lurida,r,NA,1.8,NA,0,0
Fossil,NA,site 2,replicate 1,274,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,275,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,276,Ostrea lurida,r,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,277,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,278,Ostrea lurida,r,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,279,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,280,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,281,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,282,Ostrea lurida,r,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,283,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,284,Ostrea lurida,r,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,285,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,286,Ostrea lurida,r,NA,1.8,NA,0,0
Fossil,NA,site 2,replicate 1,287,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,288,Ostrea lurida,r,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,289,Ostrea lurida,r,NA,1.7,NA,0,0
Fossil,NA,site 2,replicate 1,290,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,291,Ostrea lurida,r,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,292,Ostrea lurida,r,NA,1.5,NA,1,0
Fossil,NA,site 2,replicate 1,293,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,294,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,295,Ostrea lurida,r,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,296,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,297,Ostrea lurida,r,NA,0.9,NA,0,0
Fossil,NA,site 2,replicate 1,298,Ostrea lurida,r,NA,0.8,NA,0,0
Fossil,NA,site 2,replicate 1,299,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,300,Ostrea lurida,r,NA,1.7,NA,1,0
Fossil,NA,site 2,replicate 1,301,Ostrea lurida,r,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,302,Ostrea lurida,r,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,303,Ostrea lurida,r,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,304,Ostrea lurida,r,NA,0.9,NA,0,0
Fossil,NA,site 2,replicate 1,305,Ostrea lurida,r,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,306,Ostrea lurida,r,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,307,Ostrea lurida,r,NA,1.7,NA,0,0
Fossil,NA,site 2,replicate 1,308,Ostrea lurida,r,NA,1.9,NA,0,0
Fossil,NA,site 2,replicate 1,309,Ostrea lurida,l,NA,1.5,NA,0,0
Fossil,NA,site 2,replicate 1,310,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,311,Ostrea lurida,l,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,312,Ostrea lurida,l,NA,1.8,NA,0,0
Fossil,NA,site 2,replicate 1,313,Ostrea lurida,l,NA,1.9,NA,0,0
Fossil,NA,site 2,replicate 1,314,Ostrea lurida,l,NA,1.8,NA,1,0
Fossil,NA,site 2,replicate 1,315,Ostrea lurida,l,NA,2.3,NA,0,0
Fossil,NA,site 2,replicate 1,316,Ostrea lurida,l,NA,1.7,NA,0,0
Fossil,NA,site 2,replicate 1,317,Ostrea lurida,l,NA,1.4,NA,1,0
Fossil,NA,site 2,replicate 1,318,Ostrea lurida,l,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,319,Ostrea lurida,l,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,320,Ostrea lurida,l,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,321,Ostrea lurida,l,NA,2.3,NA,0,0
Fossil,NA,site 2,replicate 1,322,Ostrea lurida,l,NA,1.8,NA,1,0
Fossil,NA,site 2,replicate 1,323,Ostrea lurida,l,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,324,Ostrea lurida,l,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,325,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,326,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,327,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,328,Ostrea lurida,l,NA,2,NA,0,0
Fossil,NA,site 2,replicate 1,329,Ostrea lurida,l,NA,2.3,NA,0,0
Fossil,NA,site 2,replicate 1,330,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,331,Ostrea lurida,l,NA,1.8,NA,1,0
Fossil,NA,site 2,replicate 1,332,Ostrea lurida,l,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,333,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,334,Ostrea lurida,l,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,335,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,336,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,337,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,338,Ostrea lurida,l,NA,1.9,NA,0,0
Fossil,NA,site 2,replicate 1,339,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,340,Ostrea lurida,l,NA,1.3,NA,1,0
Fossil,NA,site 2,replicate 1,341,Ostrea lurida,l,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,342,Ostrea lurida,l,NA,1.3,NA,1,0
Fossil,NA,site 2,replicate 1,343,Ostrea lurida,l,NA,1.3,NA,1,0
Fossil,NA,site 2,replicate 1,344,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,345,Ostrea lurida,l,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,346,Ostrea lurida,l,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,347,Ostrea lurida,l,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,348,Ostrea lurida,l,NA,1.3,NA,0,0
Fossil,NA,site 2,replicate 1,349,Ostrea lurida,l,NA,2.3,NA,0,0
Fossil,NA,site 2,replicate 1,350,Ostrea lurida,l,NA,1.4,NA,0,0
Fossil,NA,site 2,replicate 1,351,Ostrea lurida,l,NA,1.6,NA,0,0
Fossil,NA,site 2,replicate 1,352,Ostrea lurida,l,NA,1.2,NA,0,0
Fossil,NA,site 2,replicate 1,353,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,354,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,355,Ostrea lurida,l,NA,1.1,NA,0,0
Fossil,NA,site 2,replicate 1,356,Ostrea lurida,l,NA,0.9,NA,0,0
Fossil,NA,site 2,replicate 1,357,Ostrea lurida,l,NA,1,NA,0,0
Fossil,NA,site 2,replicate 1,358,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,359,Ostrea lurida,r,NA,3.1,NA,0,0
Fossil,NA,site 2,replicate 1,360,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,361,Ostrea lurida,r,NA,3.5,NA,0,0
Fossil,NA,site 2,replicate 1,362,Ostrea lurida,r,NA,4.5,NA,1,0
Fossil,NA,site 2,replicate 1,363,Ostrea lurida,r,NA,3.3,NA,1,0
Fossil,NA,site 2,replicate 1,364,Ostrea lurida,r,NA,2.6,NA,0,0
Fossil,NA,site 2,replicate 1,365,Ostrea lurida,r,NA,3.8,NA,0,0
Fossil,NA,site 2,replicate 1,366,Ostrea lurida,r,NA,4.3,NA,0,0
Fossil,NA,site 2,replicate 1,367,Ostrea lurida,r,NA,4.3,NA,1,0
Fossil,NA,site 2,replicate 1,368,Ostrea lurida,r,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,369,Ostrea lurida,r,NA,4.8,NA,0,0
Fossil,NA,site 2,replicate 1,370,Ostrea lurida,r,NA,3.2,NA,0,0
Fossil,NA,site 2,replicate 1,371,Ostrea lurida,l,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,372,Ostrea lurida,l,NA,4.8,NA,0,0
Fossil,NA,site 2,replicate 1,373,Ostrea lurida,l,NA,3.8,NA,0,0
Fossil,NA,site 2,replicate 1,374,Ostrea lurida,l,NA,3.8,NA,1,0
Fossil,NA,site 2,replicate 1,375,Ostrea lurida,l,NA,3.1,NA,1,0
Fossil,NA,site 2,replicate 1,376,Ostrea lurida,l,NA,4.4,NA,1,0
Fossil,NA,site 2,replicate 1,377,Ostrea lurida,l,NA,5.3,NA,1,0
Fossil,NA,site 2,replicate 1,378,Ostrea lurida,l,NA,5,NA,1,0
Fossil,NA,site 2,replicate 1,379,Ostrea lurida,l,NA,3.9,NA,1,0
Fossil,NA,site 2,replicate 1,380,Ostrea lurida,l,NA,3.2,NA,0,0
Fossil,NA,site 2,replicate 1,381,Ostrea lurida,l,NA,4.7,NA,1,0
Fossil,NA,site 2,replicate 1,382,Ostrea lurida,l,NA,5.8,NA,0,0
Fossil,NA,site 2,replicate 1,383,Ostrea lurida,l,NA,3.7,NA,1,0
Fossil,NA,site 2,replicate 1,384,Ostrea lurida,l,NA,4.2,NA,0,0
Fossil,NA,site 2,replicate 1,385,Ostrea lurida,l,NA,5.5,NA,1,0
Fossil,NA,site 2,replicate 1,386,Ostrea lurida,l,NA,3.7,NA,0,0
Fossil,NA,site 2,replicate 1,387,Ostrea lurida,l,NA,4.5,NA,0,0
Fossil,NA,site 2,replicate 1,388,Ostrea lurida,l,NA,4.4,NA,1,0
Fossil,NA,site 2,replicate 1,389,Ostrea lurida,l,NA,3.3,NA,0,0
Fossil,NA,site 2,replicate 1,390,Ostrea lurida,l,NA,3.8,NA,0,0
Fossil,NA,site 2,replicate 1,391,Ostrea lurida,l,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,392,Ostrea lurida,l,NA,5.5,NA,1,0
Fossil,NA,site 2,replicate 1,393,Ostrea lurida,r,NA,5.2,NA,0,0
Fossil,NA,site 2,replicate 1,394,Ostrea lurida,l,NA,4.9,NA,1,0
Fossil,NA,site 2,replicate 1,395,Ostrea lurida,l,NA,6.3,NA,0,0
Fossil,NA,site 2,replicate 1,396,Ostrea lurida,l,NA,4.7,NA,0,0
Fossil,NA,site 2,replicate 1,397,Ostrea lurida,l,NA,4.2,NA,0,0
Fossil,NA,site 2,replicate 1,398,Ostrea lurida,r,NA,4.7,NA,1,0
Fossil,NA,site 2,replicate 1,399,Ostrea lurida,r,NA,3.8,NA,1,0
Fossil,NA,site 2,replicate 1,400,Ostrea lurida,r,NA,4.6,NA,0,0
Fossil,NA,site 2,replicate 1,401,Ostrea lurida,r,NA,4.1,NA,1,0
Fossil,NA,site 2,replicate 1,402,Ostrea lurida,r,NA,4.8,NA,1,0
Fossil,NA,site 2,replicate 1,403,Ostrea lurida,r,NA,5.8,NA,0,0
Fossil,NA,site 2,replicate 1,404,Ostrea lurida,r,NA,5,NA,0,0
Fossil,NA,site 2,replicate 1,405,Ostrea lurida,r,NA,4.1,NA,0,0
Fossil,NA,site 2,replicate 1,406,Ostrea lurida,r,NA,3.9,NA,1,0
Fossil,NA,site 2,replicate 1,407,Ostrea lurida,r,NA,4.5,NA,0,0
Fossil,NA,site 2,replicate 1,408,Ostrea lurida,r,NA,4.6,NA,0,0
Fossil,NA,site 2,replicate 1,409,Ostrea lurida,r,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,410,Ostrea lurida,r,NA,3.1,NA,0,0
Fossil,NA,site 2,replicate 1,411,Ostrea lurida,r,NA,3.9,NA,0,0
Fossil,NA,site 2,replicate 1,412,Ostrea lurida,r,NA,5.2,NA,0,0
Fossil,NA,site 2,replicate 1,413,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,414,Ostrea lurida,r,NA,2.6,NA,0,0
Fossil,NA,site 2,replicate 1,415,Ostrea lurida,r,NA,1.8,NA,0,0
Fossil,NA,site 2,replicate 1,416,Ostrea lurida,l,NA,3.1,NA,0,0
Fossil,NA,site 2,replicate 1,417,Ostrea lurida,l,NA,2.9,NA,0,0
Fossil,NA,site 2,replicate 1,418,Ostrea lurida,l,NA,5.2,NA,1,0
Fossil,NA,site 2,replicate 1,419,Ostrea lurida,l,NA,3.4,NA,0,0
Fossil,NA,site 2,replicate 1,420,Ostrea lurida,l,NA,2,NA,0,0
Fossil,NA,site 2,replicate 1,421,Ostrea lurida,l,NA,4.7,NA,1,0
Fossil,NA,site 2,replicate 1,422,Ostrea lurida,l,NA,4.5,NA,1,0
Fossil,NA,site 2,replicate 1,423,Ostrea lurida,l,NA,4.6,NA,1,0
Fossil,NA,site 2,replicate 1,424,Ostrea lurida,l,NA,3.2,NA,1,0
Fossil,NA,site 2,replicate 1,425,Ostrea lurida,l,NA,2.4,NA,0,0
Fossil,NA,site 2,replicate 1,426,Ostrea lurida,l,NA,4.2,NA,0,0
Fossil,NA,site 2,replicate 1,427,Ostrea lurida,l,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,428,Ostrea lurida,l,NA,4.6,NA,0,0
Fossil,NA,site 2,replicate 1,429,Ostrea lurida,l,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,430,Ostrea lurida,l,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,431,Ostrea lurida,l,NA,3.9,NA,0,0
Fossil,NA,site 2,replicate 1,432,Ostrea lurida,l,NA,4.6,NA,0,0
Fossil,NA,site 2,replicate 1,433,Ostrea lurida,l,NA,4.5,NA,1,0
Fossil,NA,site 2,replicate 1,434,Ostrea lurida,l,NA,4.5,NA,1,0
Fossil,NA,site 2,replicate 1,435,Ostrea lurida,l,NA,2.6,NA,0,0
Fossil,NA,site 2,replicate 1,436,Ostrea lurida,l,NA,1.8,NA,0,0
Fossil,NA,site 2,replicate 1,437,Ostrea lurida,r,NA,2.3,NA,0,0
Fossil,NA,site 2,replicate 1,438,Ostrea lurida,r,NA,3.4,NA,0,0
Fossil,NA,site 2,replicate 1,439,Ostrea lurida,r,NA,3.9,NA,0,0
Fossil,NA,site 2,replicate 1,440,Ostrea lurida,r,NA,3,NA,1,0
Fossil,NA,site 2,replicate 1,441,Ostrea lurida,r,NA,4.5,NA,0,0
Fossil,NA,site 2,replicate 1,442,Ostrea lurida,r,NA,3.4,NA,0,0
Fossil,NA,site 2,replicate 1,443,Ostrea lurida,r,NA,4.1,NA,0,0
Fossil,NA,site 2,replicate 1,444,Ostrea lurida,r,NA,3.9,NA,1,0
Fossil,NA,site 2,replicate 1,445,Ostrea lurida,r,NA,3.5,NA,1,0
Fossil,NA,site 2,replicate 1,446,Ostrea lurida,r,NA,3.2,NA,0,0
Fossil,NA,site 2,replicate 1,447,Ostrea lurida,r,NA,2.7,NA,0,0
Fossil,NA,site 2,replicate 1,448,Ostrea lurida,r,NA,3.8,NA,1,0
Fossil,NA,site 2,replicate 1,449,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,450,Ostrea lurida,r,NA,3,NA,0,0
Fossil,NA,site 2,replicate 1,451,Ostrea lurida,r,NA,2.5,NA,0,0
Fossil,NA,site 2,replicate 1,452,Ostrea lurida,r,NA,3,NA,0,0
Fossil,NA,site 2,replicate 1,453,Ostrea lurida,r,NA,3.9,NA,1,0
Fossil,NA,site 2,replicate 1,454,Ostrea lurida,r,NA,3.8,NA,1,0
Fossil,NA,site 2,replicate 1,455,Ostrea lurida,r,NA,3.5,NA,0,0
Fossil,NA,site 2,replicate 1,456,Ostrea lurida,r,NA,4.3,NA,0,0
Fossil,NA,site 2,replicate 1,457,Ostrea lurida,r,NA,2.5,NA,0,0
Fossil,NA,site 2,replicate 1,458,Ostrea lurida,r,NA,3.9,NA,1,0
Fossil,NA,site 2,replicate 1,459,Ostrea lurida,r,NA,3.8,NA,0,0
Fossil,NA,site 2,replicate 1,460,Ostrea lurida,r,NA,5.9,NA,1,0
Fossil,NA,site 2,replicate 1,461,Ostrea lurida,r,NA,5.6,NA,0,0
Fossil,NA,site 2,replicate 1,462,Ostrea lurida,r,NA,3.7,NA,1,0
Fossil,NA,site 2,replicate 1,463,Ostrea lurida,r,NA,2,NA,0,0
Fossil,NA,site 2,replicate 1,464,Ostrea lurida,r,NA,2.5,NA,0,0
Fossil,NA,site 2,replicate 1,465,Ostrea lurida,r,NA,3.4,NA,1,0
Fossil,NA,site 2,replicate 1,466,Ostrea lurida,r,NA,3.5,NA,1,0
Fossil,NA,site 2,replicate 1,467,Ostrea lurida,r,NA,3.1,NA,0,0
Fossil,NA,site 2,replicate 1,468,Ostrea lurida,r,NA,2.1,NA,0,0
Fossil,NA,site 2,replicate 1,469,Ostrea lurida,r,NA,2.5,NA,0,0
Fossil,NA,site 2,replicate 1,470,Ostrea lurida,r,NA,2.1,NA,0,0
Fossil,NA,site 2,replicate 1,471,Ostrea lurida,r,NA,3.3,NA,1,0
Fossil,NA,site 2,replicate 1,472,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,473,Ostrea lurida,r,NA,2.9,NA,0,0
Fossil,NA,site 2,replicate 1,474,Ostrea lurida,r,NA,4.4,NA,0,0
Fossil,NA,site 2,replicate 1,475,Ostrea lurida,r,NA,3.3,NA,0,0
Fossil,NA,site 2,replicate 1,476,Ostrea lurida,r,NA,2.9,NA,0,0
Fossil,NA,site 2,replicate 1,477,Ostrea lurida,r,NA,2.9,NA,0,0
Fossil,NA,site 2,replicate 1,478,Ostrea lurida,r,NA,2.9,NA,1,0
Fossil,NA,site 2,replicate 1,479,Ostrea lurida,r,NA,2.7,NA,0,0
Fossil,NA,site 2,replicate 1,480,Ostrea lurida,r,NA,3.8,NA,0,0
Fossil,NA,site 2,replicate 1,481,Ostrea lurida,r,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,482,Ostrea lurida,r,NA,2.2,NA,0,0
Fossil,NA,site 2,replicate 1,483,Ostrea lurida,r,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,483,Ostrea lurida,r,NA,4.5,NA,0,0
Fossil,NA,site 2,replicate 1,485,Ostrea lurida,l,NA,4.9,NA,1,0
Fossil,NA,site 2,replicate 1,486,Ostrea lurida,l,NA,3.7,NA,1,0
Fossil,NA,site 2,replicate 1,487,Ostrea lurida,r,NA,2.6,NA,0,0
Fossil,NA,site 2,replicate 1,488,Ostrea lurida,l,NA,3.7,NA,1,0
Fossil,NA,site 2,replicate 1,489,Ostrea lurida,l,NA,3.9,NA,0,0
Fossil,NA,site 2,replicate 1,490,Ostrea lurida,l,NA,5.1,NA,1,0
Fossil,NA,site 2,replicate 1,491,Ostrea lurida,l,NA,4.7,NA,0,0
Fossil,NA,site 2,replicate 1,492,Ostrea lurida,l,NA,5.2,NA,0,0
Fossil,NA,site 2,replicate 1,493,Ostrea lurida,l,NA,4.1,NA,0,0
Fossil,NA,site 2,replicate 1,494,Ostrea lurida,l,NA,3.7,NA,0,0
Fossil,NA,site 2,replicate 1,495,Ostrea lurida,r,NA,3.7,NA,0,0
Fossil,NA,site 2,replicate 1,496,Ostrea lurida,r,NA,5.6,NA,1,0
Fossil,NA,site 2,replicate 1,497,Ostrea lurida,r,NA,5.2,NA,0,0
Fossil,NA,site 2,replicate 1,498,Ostrea lurida,r,NA,3.7,NA,0,0
Fossil,NA,site 2,replicate 1,499,Ostrea lurida,l,NA,5.6,NA,1,0
Fossil,NA,site 2,replicate 1,500,Ostrea lurida,l,NA,4.4,NA,0,0
Fossil,NA,site 2,replicate 1,501,Ostrea lurida,l,NA,4.5,NA,1,0
Fossil,NA,site 2,replicate 1,502,Ostrea lurida,r,NA,4.9,NA,0,0
Fossil,NA,site 2,replicate 1,503,Ostrea lurida,l,NA,4.7,NA,0,0
Fossil,NA,site 2,replicate 1,504,Ostrea lurida,l,NA,4,NA,0,0
Fossil,NA,site 2,replicate 1,506,Ostrea lurida,l,NA,3.9,NA,0,0
Fossil,NA,site 2,replicate 1,507,Ostrea lurida,l,NA,3.6,NA,0,0
Fossil,NA,site 2,replicate 1,508,Ostrea lurida,r,NA,1.9,NA,0,0
Fossil,NA,site 2,replicate 1,509,Ostrea lurida,r,NA,4.8,NA,0,0
Fossil,NA,site 2,replicate 1,510,Ostrea lurida,r,NA,5,NA,0,0
Fossil,NA,site 2,replicate 1,511,Ostrea lurida,l,NA,4.7,NA,0,0
Fossil,NA,site 2,replicate 1,512,Ostrea lurida,l,NA,4.3,NA,0,0
Fossil,NA,site 2,replicate 1,513,Ostrea lurida,l,NA,4.8,NA,0,0